d,p,n,par,family,dvine,norm_error,sum_error,max_norm_error,last_param_error
100,197,100,function (t)  1/(t + 1),1,FALSE,0.967298921926435,0.07385928503957531,0.21664699981518268,-0.021150873550969118
100,197,100,function (t)  1/(t + 1),1,FALSE,1.16343174553899,0.6503004108348845,0.27319515825799945,0.053329930043179374
100,197,100,function (t)  1/(t + 1),1,FALSE,0.9759654992460493,0.2089428470995264,0.17766519656791596,0.038009527390315545
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0653779448733793,2.4980087415223196,0.2788104064278815,-0.14804380778502987
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0914912012918327,0.7997485936221049,0.2196092579446472,-0.02656362033432247
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0077456836013154,0.6777964517369601,0.2021321158042863,0.003790397568898596
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0645346802012698,-2.6861391468427813,0.2036412680315835,0.09236152649320045
100,197,100,function (t)  1/(t + 1),1,FALSE,1.026954904764682,-0.1558750687429574,0.2557226311388649,0.05411140160128164
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1312888343118495,-1.8314201418979708,0.27199444310344006,-0.004638557728485371
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0511536093584888,0.24070344300895155,0.23462556734888013,-0.011200404641951378
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0599829883221172,1.1395704907194888,0.262939482016976,0.08385426552252134
100,197,100,function (t)  1/(t + 1),1,FALSE,0.9527163021648292,-0.013257930929097855,0.1791093620203879,-0.0543805300029892
100,197,100,function (t)  1/(t + 1),1,FALSE,1.2192418033720114,-1.0177847837572738,0.2319977013959298,0.05449689397100377
100,197,100,function (t)  1/(t + 1),1,FALSE,1.086792403631324,-0.6350123567117222,0.2181314040273952,-0.0645776764607982
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1391157602973905,-0.1054087881953388,0.26903157887108664,0.078957735631698
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0470047777772096,-0.06801940879180951,0.1964778673293945,-0.07095038862974834
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0470246555944622,-1.0206330728781645,0.20793679713346785,0.05228143449714534
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0747735612769482,1.8862998144640755,0.20652766211484613,0.053160671649853275
100,197,100,function (t)  1/(t + 1),1,FALSE,1.2199548629127328,2.2122526407925855,0.22780426198073472,-0.07001564748315825
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0428316075371338,0.9592907769631708,0.28838486538460595,-0.11647330513133475
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0784720700471389,0.24302559353613082,0.25140236658709336,-0.026290574818330803
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1459299299111136,1.2534254828584421,0.24427518225520245,-0.026274209445971752
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0798934679748784,1.3389875943298923,0.2580408376101082,-0.002458356626417857
100,197,100,function (t)  1/(t + 1),1,FALSE,1.076938327888847,0.3131623216417646,0.22092818879379122,-0.08634112667993701
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0369033821374463,1.5605566598165002,0.19223050101047875,-0.028179898329608266
100,197,100,function (t)  1/(t + 1),1,FALSE,0.9987123813985918,0.35462313282786095,0.21524003791415752,-0.03020801668944012
100,197,100,function (t)  1/(t + 1),1,FALSE,1.2538717896978968,-0.08291844601016102,0.23274899898235163,-0.13544561003040712
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0001838986558877,0.16264159172318554,0.18300928841075306,0.13890198383968366
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1023732995713882,-0.8057920745096597,0.24586048272204353,0.10760653303752127
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1040400309105205,0.13329291923086975,0.3473989038735799,0.06200028565584542
100,197,100,function (t)  1/(t + 1),1,FALSE,1.2228530156201187,-0.48628841305183523,0.2355887294521789,-0.07384735402196718
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0059984262425157,2.5875701029788982,0.2682748212770603,0.06476892948687318
100,197,100,function (t)  1/(t + 1),1,FALSE,1.087072641802988,0.048093391252563705,0.21484688866009913,0.07859279147149578
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1282331400293808,-0.005328017743396557,0.20285729311397432,-0.025683542804791015
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0541400503265383,1.4313500772048784,0.21158945005552862,-0.06714508726211216
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1291215783029882,-0.49758926757519706,0.2547255205421346,-0.030993959488020917
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0492177358090902,-0.23720332613403167,0.24384734948665215,-0.01842928196443888
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0837608085102146,-0.6412535593328754,0.3836920960946477,0.010557425158197464
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1034514311189099,-0.7531246047550431,0.30919273218427673,-0.016303041145276198
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0608730378675104,3.5753044962803116,0.2761987833653522,-0.03625641876267399
100,197,100,function (t)  1/(t + 1),1,FALSE,1.0000477438298858,0.8509507663628999,0.25199671535352136,0.16469452469686707
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1058911160479676,-0.8167419544676512,0.26192325530176197,-0.11754886696183067
100,197,100,function (t)  1/(t + 1),1,FALSE,1.1777956312316673,-2.18625458105746,0.24670631851616676,0.10113787304649596
