d,p,n,par,par2,family,dvine,norm_error,sum_error,last_param_error,max_norm_error,norm_error2,sum_error2,last_param_error2,max_norm_error2,norm_error_all
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7952127095231987,0.17902175997059147,-0.23788444607211243,0.23788444607211243,117.07590478529502,358.71057034347405,2.133451917650804,45.999999,117.0786054091389
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7063171741565403,0.24672337054852625,-0.005347842763306866,0.2223738655170095,99.4242815142683,259.8404904394476,0.12485741622883406,45.999999,99.42679034635981
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7607200985130882,-1.133196142960086,0.09477503956193221,0.34281572617048395,98.71859929453215,259.34497706679804,0.2803321585434633,45.999999,98.72153028464805
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8137155629354124,1.8097855851724018,-0.06137888155433268,0.4020027873103473,110.67446745397866,312.90756466280396,-1.5617564732705946,45.999999,110.6774587675338
10,45,100,function (t)  0.5^t,4,2,FALSE,0.718332576333146,0.19328059021327484,-0.07628499023497388,0.250856323569311,123.28842972830701,373.0718475532764,-1.1722284288972413,45.999999,123.29052237119411
10,45,100,function (t)  0.5^t,4,2,FALSE,0.746182332824712,0.5850103545943861,0.03438492284899511,0.23872919254688235,53.35943783801537,91.9453698313665,10.068755550630302,45.999999,53.364654917490526
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6578562956710798,1.109655406909265,-0.022194256728674838,0.24262969727195738,50.08466520403063,90.06126183019977,1.5395174539275134,45.999999,50.08898545095109
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7171867064932311,0.5241785828914733,0.1826017267513141,0.21521156806189065,106.19546973683657,281.95905854739703,44.87193660826569,45.999999,106.19789145458277
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6282044842711246,0.49366271492114144,-0.017410317719302536,0.2605757174910842,109.73230596376615,327.5010689014423,0.6608014738089079,45.999999,109.73410414725063
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7796082546395111,0.17067371653397398,-0.05912807860393695,0.2524304828655199,129.00321287672895,391.7104279851793,45.999999,45.999999,129.00556856798607
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6425534098718529,-0.34541905300183057,-0.04165910065375178,0.2373809558488592,99.84673814247728,259.9246888873315,45.999999,45.999999,99.848805664249
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8949763774462296,-0.5817378218611734,0.07131653161545408,0.38083673214512787,143.98406371842302,491.87947258865177,2.792073346336811,45.999999,143.9868451893682
10,45,100,function (t)  0.5^t,4,2,FALSE,0.80207809822434,1.9144420331559666,0.19672323091578567,0.2777795455859875,100.39524270084387,309.5790957245257,-0.16734631838630154,45.999999,100.39844663258985
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8331296497222506,-0.4545246146999511,-0.12206358820370337,0.2851587284159334,91.1306960747749,242.41316832113458,2.028035123678662,45.999999,91.13450428946351
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7534030060171399,0.18890657369336308,-0.1493308262826465,0.2745580637292552,95.52392934143154,314.9590707946347,16.666972493515818,45.999999,95.52690036275793
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6975653165265824,0.38659866074873284,-0.018735007223379938,0.20899391636607467,101.83567144535235,276.8880126581533,6.149368955944508,45.999999,101.83806054759964
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8260197049274792,1.111684621386851,-0.14046927849640228,0.23502314278002118,74.46429118769188,151.16635772184856,45.999999,45.999999,74.46887249474302
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7775569569751745,1.5635440238492515,0.21310629655475163,0.22615056341754775,106.761165889298,367.2280080346532,16.985457841487754,45.999999,106.76399738143725
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6418162530449616,-0.4092757150937467,-0.0443949034399557,0.3026201426340248,119.32081242216013,385.9188296393945,17.20931037110499,45.999999,119.32253854652522
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6166517478717541,-0.3358996834831915,-0.09379978545107567,0.2599664455374593,98.34247610674998,267.7045421871468,8.148765876606594,45.999999,98.34440943025102
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7381634781255988,-1.075244774107796,0.24858740704933047,0.24858740704933047,96.89530956241516,247.20643456014608,-0.11766078452053508,45.999999,96.89812124348286
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6463194768880027,-0.5176843503789819,0.11347275202336746,0.23922068122851908,108.85909777834618,299.9110101230744,0.5986750876451596,45.999999,108.86101642912278
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8022873875243532,-0.6677615722481034,-0.15349881613319147,0.3211419935636838,65.02668346765363,120.48931734704206,10.166285808732377,45.999999,65.03163251721887
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7795067801198179,0.580150148925175,0.1812545113481898,0.32362265601001733,82.48034743686843,189.79535670460416,-0.7777161135388275,45.999999,82.48403084310793
10,45,100,function (t)  0.5^t,4,2,FALSE,0.9165881027700462,-1.0599245585179944,-0.17259742779029533,0.34446166435541176,120.78190214602986,408.2848691582428,4.495721208735029,45.999999,120.785379991799
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8611851385976115,-1.5075337421897501,0.1957415101593622,0.3310574757725238,74.40020614260094,209.75000755315142,21.59945432030004,45.999999,74.40519010058676
10,45,100,function (t)  0.5^t,4,2,FALSE,0.9703685077011801,-0.42283708066912923,0.0069622552583872704,0.330752690927239,81.11366864648365,207.89518590464883,45.999999,45.999999,81.11947273208993
