d,p,n,par,par2,family,dvine,norm_error,sum_error,last_param_error,max_norm_error,norm_error2,sum_error2,last_param_error2,max_norm_error2,norm_error_all
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6737450266749656,0.7138320577585786,0.13968281998814466,0.21811046617381621,73.96232102212043,171.45222065329952,2.0145382489235057,45.999999,73.96538963150378
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7065348500587513,-0.6681304980301006,-0.16027232422353402,0.24848243146339005,109.97546229820806,284.48463864148835,-0.7968407553488048,45.999999,109.97773183330766
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8878448467689548,-0.4933738535782713,0.13909059596032328,0.38504359729091586,100.23551220803331,267.71106503000516,45.999999,45.999999,100.23944421273859
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7112457175143599,0.20371553196286454,-0.053429634578991705,0.30259250022169304,120.26775951176148,354.1653807932327,-1.8942222661259724,45.999999,120.26986259429074
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7314413871921226,-0.5471098804128345,0.05285202623197252,0.25881965991853495,53.44722458645184,141.0571452517241,16.357198636748805,37.001874672206235,53.4522293501171
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6875795477404998,0.6619287831012598,0.08929971496549326,0.23699409893889561,79.13361394202362,167.89229885692694,7.41208639155391,45.999999,79.13660102101747
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7096909980956204,0.5975206769750875,-0.016566028687386665,0.3110276651231923,44.61054046530675,58.53825880535774,1.01126310579357,42.82023946235065,44.61618520133191
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8140209573685602,0.4559153292880492,0.08067473891244512,0.2529766607766073,89.94617721955233,236.53649137970902,45.999999,45.999999,89.94986062540703
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6235963790899302,-0.025949734983301925,-0.001902200217716149,0.24360146566753582,60.0171629762807,130.3356328730624,-1.384632427372047,45.999999,60.02040256583966
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6540292987746784,-0.9471734341459752,-0.0732258002209657,0.2146853363681873,58.582782653668254,108.60367469940404,30.11238515686407,45.999999,58.58643339349637
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6989362084745635,-0.2429827787783732,-0.11626437015073789,0.30509758717783453,92.96818464904355,233.20399088710226,-1.1324968008365852,45.999999,92.97081191837671
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7312030241141196,-0.2787434877689285,0.0060038888560705415,0.26318029687382904,98.03924862557881,251.7539654188136,45.999999,45.999999,98.0419753418429
10,45,100,function (t)  0.5^t,4,2,FALSE,0.8182336236738905,1.6455492492176602,0.21847643846038098,0.2547014329179319,102.87390034684772,316.8424363404885,-0.28445435658895946,45.999999,102.87715430957482
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7368992822538626,-0.6425511799729718,0.11329930493135648,0.3395122921012155,62.770716347296194,150.02082531382857,0.5192007890722881,45.999999,62.775041627265416
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7489545897479234,-1.251524674635587,-0.03897794361967777,0.3057616361902431,59.70244333059188,135.24148699496996,7.94266484652189,45.999999,59.70714088465499
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7369233792980472,1.0364833345631523,0.060270060108378196,0.2149808381293554,138.89568374831381,494.11095825444943,3.091006476871055,45.999999,138.89763864075792
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6627747063223202,-1.3028795756034286,-0.004772811599155498,0.2515534970765772,61.70968715191672,157.677232737358,-0.6165800082565172,45.999999,61.71324621747568
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7776911522001088,1.0685640148049524,-0.14354547480841137,0.3648912288696705,70.43488524275236,145.69376186104984,0.761415034174366,45.999999,70.4391784640331
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6523424341354482,0.7164077493560211,0.1422258315175828,0.2602944157781235,147.68027290538242,491.97154106608906,-0.5076682656151874,45.999999,147.681713682025
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6774150342870742,1.4145508109119924,-0.012076494623858187,0.26730005094488735,136.93691626072692,483.83566836542605,-0.184095647465377,45.999999,136.9385918071528
10,45,100,function (t)  0.5^t,4,2,FALSE,0.7891753427803269,-0.25457173275801864,0.13205620724245612,0.2562495433288917,69.23686933583338,146.82036724043382,-0.7092749140687302,45.999999,69.24136677701358
10,45,100,function (t)  0.5^t,4,2,FALSE,0.772361412306806,-0.32826840974824734,-0.1794122719509365,0.23238686398531413,82.29778595617196,174.72526948246568,2.7462783467167258,45.999999,82.30141016677123
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6947140981159119,-0.34151690620928965,-0.005646664433169029,0.2363434190795729,91.775585145554345,228.66281653581746,45.999999,45.999999,91.77821449825126
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6619340077310398,0.3516930107435982,0.08672665120669641,0.2401357602748903,73.98184026801225,182.49435676697678,-1.0034186602422013,45.999999,73.9848014532192
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6692459666194926,-0.2178104787193077,-0.1135289714397568,0.2480540234448294,113.89032231791303,364.73636303238385,3.486977260984072,45.999999,113.89228862325122
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6822463679551515,0.5023457806943695,-0.0913508129247393,0.26295776275989274,99.09970528200799,254.41916139424026,1.8119101904881418,45.999999,99.10205369762743
10,45,100,function (t)  0.5^t,4,2,FALSE,0.6623158464838625,-0.13583411592913283,0.03580365439209963,0.39728282843943613,72.39939873322629,146.19491760690454,11.015253055881965,45.999999,72.40242813064485
