d,p,K,par,dvine,error_const,seed,name,alpha_t,E_phi_true,max_E_phi
10,45,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,99212,harmonicRoot05_cvine_10,function (t)  1,1.6653345369377348e-16,-0.5168969447708449
15,105,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,91608,harmonicRoot05_cvine_15,function (t)  1,1.6653345369377348e-16,-0.4243489736058148
20,190,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,40453,harmonicRoot05_cvine_20,function (t)  1,2.220446049250313e-16,-0.42402748547200053
30,435,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,40516,harmonicRoot05_cvine_30,function (t)  1,2.7755575615628914e-16,-0.4266259570840203
40,780,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,59147,harmonicRoot05_cvine_40,function (t)  1,3.7470027081099033e-16,-0.36938044660975444
5,10,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,52965,harmonicRoot05_cvine_5,function (t)  1,1.6653345369377348e-16,-0.6769951788113793
50,1225,1000,function (t)  0.5/sqrt(t + 1),FALSE,0.005,56643,harmonicRoot05_cvine_50,function (t)  1,3.7470027081099033e-16,-0.4301595057174784
10,45,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,86951,harmonicRoot05_dvine_10_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },1.3877787807814457e-16,-0.6954123104947056
10,45,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,86951,harmonicRoot05_dvine_10_3,function (t)  t,1.3877787807814457e-16,-0.8583875996511939
10,45,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,86951,harmonicRoot05_dvine_10,function (t)  1,1.3877787807814457e-16,-0.5247671774789409
15,105,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,25548,harmonicRoot05_dvine_15_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },2.220446049250313e-16,-0.6386208832924748
15,105,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,25548,harmonicRoot05_dvine_15_3,function (t)  t,2.220446049250313e-16,-0.8212344036195862
15,105,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,25548,harmonicRoot05_dvine_15,function (t)  1,2.220446049250313e-16,-0.47961078409149427
20,190,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,97292,harmonicRoot05_dvine_20_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },4.440892098500626e-16,-0.3591939913961136
20,190,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,97292,harmonicRoot05_dvine_20_3,function (t)  t,4.440892098500626e-16,-0.8142677145883681
20,190,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,97292,harmonicRoot05_dvine_20,function (t)  1,4.440892098500626e-16,-0.2760242843401872
30,435,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,393,harmonicRoot05_dvine_30_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },2.1371793224034263e-15,1.1361905405450432
30,435,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,393,harmonicRoot05_dvine_30_3,function (t)  t,2.1371793224034263e-15,-0.8020084603223133
30,435,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,393,harmonicRoot05_dvine_30,function (t)  1,2.1371793224034263e-15,1.3483931567372736
40,780,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,89236,harmonicRoot05_dvine_40_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },5.218048215738236e-15,6.1127064970148215
40,780,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,89236,harmonicRoot05_dvine_40_3,function (t)  t,5.218048215738236e-15,-0.8029863515414185
40,780,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,89236,harmonicRoot05_dvine_40,function (t)  1,5.218048215738236e-15,7.937751575531876
5,10,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,62368,harmonicRoot05_dvine_5_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },5.551115123125783e-17,-0.8268152866145531
5,10,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,62368,harmonicRoot05_dvine_5_3,function (t)  t,5.551115123125783e-17,-0.9476073256631246
5,10,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,62368,harmonicRoot05_dvine_5,function (t)  1,5.551115123125783e-17,-0.6776492792805788
50,1225,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,74320,harmonicRoot05_dvine_50_2,function (t)  {     res <- 0     for (i in 1:t) {         res <- res + i^(-1.1)     }     res },2.0469737016526324e-14,21.53958066298214
50,1225,1000,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,74320,harmonicRoot05_dvine_50_3,function (t)  t,2.0469737016526324e-14,-0.7957188379415957
50,1225,1000,function (t)  0.5/sqrt(t + 1),TRUE,0.005,74320,harmonicRoot05_dvine_50,function (t)  1,2.0469737016526324e-14,34.27520007198053
